label,text
0,"With the exception of Chop Suey and Forest, this album is nothing but screaming over intense power chords....and to me that is not music. How can everyone say that this is such a masterpiece? You want a masterpiece that rocks? Check out Metallica's ""Master of Puppets"" or ""Black Album"" or Cigar's ""Speed is Relative"" or any of the earlier stuff by Led Zeppelin. This album has a few nice moments, but those moments are more than offset by moments of crap. Yes, sometimes Serj Tankian hits a pretty note or sometimes they play a cool guitar riff or drum fill, but there is too much incoherent screaming and angry, cliched death metal nonsense. Too many bands think that in order to rock they have to scream and play their guitars as loudly as possible. Jimmy Page didnt play super loud and intense power chords, and he was one of the best guitarists of all time! You dont have to be loud simply for the sake of being loud to rock, and these guys do not rock."
1,"""Of Mice and Men"" is a beautifully crafted short novel concerning the relationship between two migrant workers from the 1930s. The first character, Lennie, has quite severe learning difficulties and relies heavily on his friend George. Lennie is very strong and this in itself gets him into all sorts of problems. George has to come to Lennie's aid on a regular basis as a result of him getting into trouble through misinterpretations of his actions and a naviety of his own strength.Genuinely moving, the reader cannot fail to build up a great empathy with the lead characters; less so with the other figures that appear in the book- despite each one having their own set of problems.Steinbeck does a tremendous job of conveying his story to the reader, and it would be a person with a heart made of stone that would not be moved by the story's conclusion.An excellent read for older children and adults of all ages. Highly recommended."
1,"Clay Aiken's voice shines on this CD!!!! I bought this and well, I have bought one for my mom for her birthday. She has not been able to put it down!! She has listened to it over and over. Thank you Clay for a wonderful album and I can't wait till the next one!"
1,This wonderful book has a great Southwest twist and the illustrations are incredible!
1,"This CD is so fantastic. Great songs for everyone! My favorite 'The Way"" also loved ""Touch"" (sounds like Marc Antony),and ""Perfect Day"" (sounds like the Beatles). I also really liked ""When You say You Loved Me"", very catchy."
1,"This book is a great introduction to a fantastic author that is often overlooked by American readers. ""Zorba"" is fascinating, deep, and hilarious, all at once, and it's short and playful enough such that it won't turn off more casual readers. I recommend this title as a starting point for people who want to read Nikos Kazantzakis for his philosophical insights or for his moving stories."
0,"A truly lousy record. ""wiretap scars"" were in many ways briliant but something went wrong with ""porcelain"". The album give no memorable riffs or chorus what so ever. Each song sound alike and after a while you are really bored. A truly lousy record"
0,This is a complete waste of money for any real Stooges fan. You do get three DVDs. One is cartoon stooges. One is Laurel and Hardy. Only one is 3 Stooges -1 Curly episode and 2 Shemp episodes. My husband is a huge Stooges fan and couldn't watch anything except the Curly episode. I don't feel it was properly advertised on the box.
1,"Equip yourself with this handbook of New Age facts, doctrines, comparisons, and rebuttals. This manual will help you educate the precious souls that are being blinded by the dangerous New Age movement. Learn the difference between the Jesus they preach, and the Jesus we know."
1,"This was an excellent book, probably my favorite of the first four. I read it when I was 11 years old, and have re-read it so many times the book is practically destroyed. However, this book, while I as a 6th grader enjoyed it, is not for the immature child. Think carefully before you tell anyone about the series, especially your child, because it contains a few explicit scenes, which increase as the books go on. Another word of advice- if you don't like a lot of details in a book, don't read this, because the author details surroundings and histories frequently. However, I thought the details were fascinating. Jean Auel is a wonderful writer, and I eagerly await the fifth book."
0,"Being a fan of Isabelle Huppert's work, I expected something more from this film. The only good thing about this film, as a matter of fact, was Huppert's performance of a woman coming undone. She lives her relatively closed (and closely monitored by her live-in mother) life as a piano teacher, and everything seems stern, put together (except for this bizarre relationship with her mother, who controls everything). And then Huppert's much-younger student begins to pursue her. By the time Huppert succumbs, she is unraveling. At the same time, the movie unravels with her."
0,"Yeah, Oasis defined a period with Wonderwall, and yeah they had a few good tunes on the first two albums. But haven't you all noticed you can play Wonderwall and Live Forever directly over all of these tracks? I give'em 2 for being consistent."
1,"This book is a great resource for planning an Alaskan adventure. Area by area recommendations and descriptions are given to help the reader determine how best to meet his/her vacation goals.Especially helpful are the web addresses for individual services and locations, as well as the recommendations for the slightly-lesser known and (in the author's opinion) less crowded activities and the corresponding suggestions for how to beat crowds and how to plan ahead to have the experience you want.The general over-view information of each area also helps give the reader a good impression of the area and what the overall experience of the area would be like.A very thorough book."
0,"I purchased the 350 wireless adapter as a second adaptor for a second laptop on my wireless LAN. My first laptop has a Compaq WL110 PCMCIA adaptor which out performs the Cisco hands down on range and connectivity. The Cisco comes with some fancy disgnostic tools which states signal to noise ratios with no loss whereas a simple ping test clearly displays packet loss. I am disappointed as a IT proffessional and someone who thought that a cisco card would be the best. Not the case, buy Compaq or 3com."
1,Love this product. I wear it when I am doing my cardio to help with weight loss. It is true to size.
0,The quality of rice is inadequate to satisfy anyone who likes sushi. I am really surprised that Sanyo makes such bad quality product. I returned the product.
0,"I had to add my two cents because reading the good reviews about this movie blew my mind. They had to have all been written by 13 year old teeny boppers. I only sat through this movie because the people I went to the theater with needed a ride home. I was really looking forward to this movie too. The commercials made it look like it was going to be hot chicks doing wild and crazy stuff at the bar through the whole thing but I'd have to say that only about 15 minutes of this movie took place at the bar. Piper Perabo annoyed the crap out of me. She was always making these puppy dog faces like she is saying, ""Look how cute and adorable I am."" The story was trite and cliche'... I actually felt insulted that the director thought I might be stupid enough to buy into this ridiculous crap. If you aren't a 13 year old girl don't go see this."
1,"I have three children in diapers. My oldest is 4 years old and is autistic. We have not been able to potty train him yet.We tried several brands only to find out that Pampers Baby Dry was always the one we went back to. No question! No leaks! But the cost of our diapers just adds up. Amazon has the absolute cheapest price I have found - in stores or on-line. And free shipping, and I got (...) off with a promotion for baby items over (...) prurchased. I made out! And never had to leave my door! Thanks Amazon! Really!"
1,"Great techniques and lots of them. Very good introduction to the world of jujitsu. The issue I had was that many of the pictures were somewhat far away and you can't clearly see how the technique is specifically executed. Also, some of the written descriptions assume baseline knowledge of the technique."
0,"I bought this costume in hopes of wearing for Halloween ( last year). I had even separately purchased the duster ( which I am now using to really dust things). Uhh... I tried it on ( I got a X-Small) and its just big... the net piece ( part of the dress with the dots) go all the way down to almost my knees. Which makes it awkward and not sexy at all- its just weird I tried tucking the net part in to my undies to hold it, but it just becomes supper puffy- again looks weird. I never wore it and its still brand new sitting in my closet somewhere.Maybe its just for my body- I am not sure, but the material isn't as great either compared to the picture. Def. does not look anything close to how the model looks in it.Sorry- this was not a good buy at all. The model sure looks good in it."
1,"It works like a charm. Well, it won't work over the more secure WPA encryption, but it works great with standard encryption.My complaint: It's clunky. On a computer desktop, it's alright to have something that needs to sit on the desk and connect to the PC with a USB cord. My TiVo, however sits stacked between my DVD player and my XBox. The USB WiFi adapter is forced to perch precariously on the back of the shelf. It'd be better if it was designed to just fit right into the USB port, like the one I bought for my girlfriend's computer (which cost $10 less).The TiVo is supposed to work with other brands of wireless network adapters, but I figured the safe choice was to buy the TiVo brand. Overall, I'm not disappointed."
0,Looks great. Fits our space. Holds right number of bottles for us. But temperature either 40 or 60 degrees. Neither good for storing wine. Cannot get the temperature we want. Would send it back. But major undertaking for me--too heavy and bulky. Keeping as extra frig.
1,"I've been in love with Shirley Manson since I saw the video for 1995's Only Happy When It Rains. Since then, I've never been once disappointed with her or the rest of the band especially when it comes to this CD. Version 2.0 is an amazing blend of techno and guitar melodies. I'm totally convinced that every year Garbage just gets better and better."
0,"We watched Last Tango in Paris mainly just to say we've seen it. Little did we realize how messed up most of the characters are & how disturbing a few scenes would be...however, it is french directed so I guess that explains it (a genre neither my wife or I have ever been able to embrace). Did not care for the film at all but give it 2 stars for the shockingly hairy full frontal."
1,"How refreshing it is to hear someone sing BIG again! While there are some uncomfortable moments on the album, Clay has definitely shown us what he has to offer the music world. One can't help but feel the urge to grab up some Steve Perry/Journey albums after listening to this. We haven't heard a male voice this soulful since Captain Big Voice (Perry) left the scene. Hopefully this is just the tip of the iceberg."
0,"This is the worst diaper we ever tried. After my 20 months old daughter go to bad (changing diaper at 9pm) we have to change it at around 4am, otherwise she (her outfit, bad and comforter) will be totally wet by the morning. We had no other diaper with such an experience. During daytime it is even worse, sometimes it start letting thru everything after few hours. We use 5-7 diapers a day whereas we needed only 3-4 from cruisers. This simply have not enough absorbent to stay dry for 12 hours (as advertised)"
0,"Well, this is one of those ""you get what you pay for"" kind of reviews. Didn't pay much, didn't expect much, but basically functional would've been nice. The generator came broken (probably a miswire internally). Yep, I checked the outs with a meter... and if I finagled the probe inside and touched the right spot, I got voltage. Just not externally. Too much trouble to return it and convinced my 10-year old to go with a real light powered by batteries."
1,"An aging German pope sends our hero, Michener, on a mission to find the true hidden secrets of the message given by the Virgin to the children of Fatima in 1917. Meanwhile the Pope's Secretary, a scoundrel of the highest order, has his sights set on his life long ambitions of becoming the next pope. In a breathless search through medieval papal archives and to Bosnia, the site of the latest Mary apparition, we are led to a nifty grand finale, as all the pieces fit together to a final ""Proof"" of the Virgin's Mary's Reality, and God's existence as well. This is a lively ride thru Church/ Papal history with interesting characters and settings to match, and I admit I breezed right thru!"
0,"Candide is my favorite book, and I've read it multiple times in boh french and english. This is by far the worst english translation I've come across. It makes absolutely no attempt to preserve the grammatical structure of Voltaire's original, and consequently much of the irony and wit is lost. Read Candide, but not this copy.The Signet edition is not bad."
1,This is the best Baby Dry Diaper for your special little one. Your baby really stays dry and comfortable specially during the night and the fitting is great.
1,It was the product my daughter needed for school. I find the book binding rather flimsy but it doesn't need to survive longer than her course and it wasn't expensive so I can't complain.
0,"Received it broken but when talking to the customer help chat they refunded me ASAP. 110% satisfied with their service..,"
1,"Great product and even better price. If you compare to Costco, Target, etc. you will not find a deal better than this."
0,"Somethings Just aren't Worth reviewing ...This is one of Them !Run from this feature ! I couldn't even finish watching it and I love Demon movies ! If U thought ""Lost Souls"" was bad it is a revalation compared to this !"
1,My wife purchased a pair of rubber soled walking shoes. Would you believe the sole on both shoes opened an the center and needed to be reglued. took them to a local shoemaker and he wanted $22.00 plus tax to repair... No I said...I went to Amazon and purchased Shoe Goo for much less and reglued the soles my self. It worked well. Others suggested that I have plenty of rubber bands availabe and I did and used them to hold the soles in place during the bonding process. I give the product 5 stars.
1,"My daughter has a lot of shoes. She used to just either leave them on the floor or would toss them in a empty laundry basket.The rack was easy to put together and so far have had no problems. It holds all of her shoes and takes up little space.The only drawback I saw was that you see the bottoms of the shoes and you wouldn't want to put heavier shoes all on one side.We are very pleased and if the needs again arises, I will buy another one. I am glad I bought it."
0,"When I ordered the book it was listed as ( like new ) Hog Wash ! the inside of the book was high lighted with yellow lighter and ink pen from beginning to end , there is hardly one page that is not completely marked up. What the heck ? I bought the book for a gift ( one the best book on the planet by the way ) the book is an heirloom, I was very disappointed , the delivery time was good, but the condition of the book is just crap. For me there is no way to correct this at this point, I needed it by this coming Friday... absolute disappointment !Dan Hall"
1,"DEEP...MOODY...AND SPIRITUAL. WHEN THEY BURY ME, I WANT PSALM TO BE PLAYING AND IF THE GOOD LORD IS WILLING, I HOPE THERE IS AN ACCOMPANING THUNDERSTORM. AFTERWARDS, THEY CAN ALL GO THROW ONE BACK IN MY HONOR AND TELL LIES ABOUT ME. THIS CD IS A CLASSIC."
0,Did a ton of research before purchasing a Danby wine cooler...it stopped working after owning it 15 months...just stopped for no reason at all. You are throwing your money away if you purchase this item.
1,"Personally I think this is the best Batman movie ever made. Yeah the car isn't what we all know it to be, but the action and the storyline is quite good. The antagonist is kind of unlike any other movie which is bizarre but at the same time interesting. This is because you actually see Batman with unpredictable struggles rather than not being able to kill his enemy the first time they fight."
1,I purchased 2 pair of Converse Chuck Taylor tennis shoes for my granddaughter's Christmas gift. They were delivered before the projected date and were exactly what the girls wanted. I will not hesitate to order from them again.
0,"This geek reminds me of a watered down Elton John except that one thing, real talent. She he can sing but at leased Elton John wrote his own songs. Clay's voice sounds a lot like Elton's but too bad his 15 minutes of fame are up. He will always have the words ""American Idol"" written beneath him which is why he will not go far. He is an Elton John-wannabe like Kelly Clarkson is a Mariah Carey-wannabe."
0,"This book isn`t worth the paper it is written on!!It contained nothing of substance.Where did this couple live?What were their last names?What was a day like at home for the mother(Hyacynth)?What were her children like?What was important to her?These are just a few of the subjects not even touched upon by the author.I couldn`t get past the first 100 pages.I hav not read any of this authors other books since Evergreen,which I loved.This book was a waste of my time and money.I will not ever waste anymore money on this authors books."
1,I've had this case for a few months now and still love it. I used the bottom DVD slot for my DVD burner and used the top slot to wrap all the excess cables from the power supply. Keeps the inside of the case clean and simple with good air flow. I purchased a multi card reader with a USB 3.0 port to fit in the floppy slot. Added some ram with led's which lights up the case perfectly. Overall great case. No complaints.
0,"Paper feed is definitely a serious product defect. I called the HP tech support, but they were not aware of the paper feed cleaning kit that some reviewer mentioned. They only suggested cleaning the roller with dampened cloth.Thanks to Michael C Garrett's ingenious solution, this printer is more or less reusable again."
1,"Clay Aiken's outstanding voice and song delivery are showcased perfectly on this cd. His vocal power and range are phenomenal and the songs themselves are terrific as well. At long last, a person rises to the top of the charts who is in actual possession of real talent! At long last, a major label has produced a cd with the recognition that the content of the music can be mature without being trash or treating vices as though they're, indeed, acceptable. It's been a long time since I've listened to pop for the simple reason that I was tired of wading through the filth and innuendo to hear a few bars I liked. Clay Aiken appeals to true emotion and feeling. This only came out today and already, I'm anxiously waiting for the next CD."
1,"The new CD by Celine Dion is really good. The French lyrics add a sweet touch to the ear, and each song is exquisite and unique. Tout l'or des hommes is unique in its hard rock theme. Apprends-moi seems a bit too pop ballady. My favorite on the album, Le vol d'un ange, is a emotionally touching and a beautiful-tuned song. Je lui dirai is very funky, and Ne bouge pas is hilarious. Get the CD!"
1,"I love how this product makes me look in my clothes!!! its shapes me into a perfect hourglass! i dont know if the claim that it permanantley reduces your waist after 30 days is true because i havent had it that long. my only complaints are that it is a little too short, so i still have a small bulge over the top in vthe back and i think it may be stretching out as i wear it as oppossed to it shrinking me, but overall, it is the best shapewear i have ever purchased. i love it and would recommend it to anyone."
0,Simply unreadable. A nonsense book and a ridiculous plot. Sincerely one of the worst books I've ever read.
0,I didn't look carefully and didn't realize this was only the single...a good live track of Hey Man Nice Shot but I had intended to get the whole album
0,"Despite the clever packaging, this CD was NOT produced by the folks behind ""O Brother Where Art Thou?""As it claims, this CD does contain original recordings of many of the songs on the ""O Brother"" soundtrack. If you're looking for the genuine article, this is it.However, as is common with recordings this old, many of the originals were made by semi-professionals with primitive recording technology. As a result, these ""originals"" do not have the clarity, the warmth, or the production values of the masterful performances on ""O Brother"" and the companion live album ""Down from the Mountain."" If you're looking for music that sounds like those two albums, try Gillian Welch's ""Revival"" instead."
1,"I agree with everything said by everyone else, but the piece that really really grabs me is ""Jessica's Lullaby"". It's a masterpiece composition and performance, absolutely beautiful!!! I've worn my CD out and I just ordered a replacement."
0,"I recommend this book as kindling for a fire. It is the worst book that could have possibly been written. If you want to read this, jump off the nearest bridge or very tall building (without a parachute). That's probably the most similar experience to reading this book. Thank you, and have a good day."
0,The Xanth series is what got me reading sci-fi and fantasy novels. Its a shame this series has turned into unreadable mush.Zombie Lover was the last book I've bought in this series and I don't think I'll continue with it. I can't take in anymore stories of adolescents thinking about who they want or don't want to have sex with.
0,"A book from the author of Struts, can you possibly go wrong? This book shows you can. The book does not have a flow to it, to me it seems just scattered topics piled on eachother. And then, the grand finale, where all you have ""learned"" is applied in a real world type of thing... By the time it got there, I got so annoyed I did not care anymore. The examples rely on so much non-standard struts stuff, I have trouble with the title even."
0,"i think the love brids are hyping this movie up, this is a review from someone that doesnt by into the love movie Douche thing: Not adams best, very repeatative movie. I dont think he will ever make another Happy gilmore, or Billy madison movie."
0,"What I go was the same old boy band sound at its worst. I really feel sorry for the group because only ONE song should have been released and that was ""Faded"". It is the lone entertaining track on the CD. There was no creativity in the rest of the album; only canned and simplistic bubblegum boyband pop. If you want to torture anyone get this CD and make them listen to it. It will turn them off of Boybands for the rest of their lives. It only asks one interesting question: did they honestly think that they had a good, artistic album there before they released this?"
0,"My son loves the appearance of the shoe, but the item description is very misleading.Product Features Listed in Description:-leather-Soft, calfskin leather upper-A youth shoe that employs powerpulse technology for optimal kicking power-Eva insole for comfort-Split outsole for optimal weight and flexibilityThe tag on the shoe actually lists a synthetic upper. I would not recommend this seller based on the deceptive advertising."
1,"Great book read it when i was a teen, along with all his other books.Bought it as a gift for an aspireing writer"
1,"Look at Charles Sharp's review I totally agree with him. Got this book today, nice book but not for the beginner."
1,this album is so old school in its heavy hitting beats. I'm addicted. There is nothing sad on this album (except for the very serious song babymother {about becoming an unexpectant father}). It's a feel good CD. Even the leaveamessage track is fun.
0,"The advetising on the box caught my attention so I bought this playset for my son's birthday. It was a complete waste of money! The toy design is terrible! The batcave falls over when played with. The elevator doesn't function properly either. Because of all the malfunctions and collapes, my son lost interest within five minutes of play. If you want your child to have a Happy Birthday or Merry Christmas go with something other than this toy."
1,"This is the definitive watershed work that brought Buddhism to the West and explains it in a manner that's very easy for Westerners to understand. It is a wonderful book that uses a question and answer structure like the Catholic Catechism to enlighten the reader on the Buddhist faith. It covers every aspect of Buddhism and there's much to learn from it whether you are a beginner or a master or from the East or the West. I strongly recommend this book. I got so much out of it. This book answers a lot of very important questions, including ones that I have had for some time. It's been a real blessing to me."
0,"As I didn't liked the story at all I cant say lots of things about it but if I had to rewrite the book, I would do it in modern English. Old Englih is one of the reasons I didn't liked the book. Another reason is that is a very predictable story and it has only 2 themes: Romeo and Juliet's love and the war between their families. For me Romeo is the worst character because he only thinks about Juliet and kissing her.These and much more are the reasons of why I didn't liked the story"
0,"Bought this for the Christmas lights 1 for outside and one for the tree,works great EVEN WITH EVERY OTHER REMOTE YOU HAVE WILL TURN IT ON OR OFF,AND DRIVE YOU CRAZY!!!!THE CAR REMOTE/ GARAGE/ HANDY SWITCHES ALL TURNED THE LIGHTS ON"
1,"I'm using the largest of the 3 sizes of EarGels that came with the shipment and it works great on my Jawbone headset. Just pop the existing earpiece off the Jawbone, fit this on, and you're done. It's comfortable, easy to insert in my ear, and fits snugly which allows me to remove the badly designed ear clip that comes with the Jawbone. The sound is also much better than before.Clever little accessory and highly recommended."
1,"This is the best C.D. on earth!! I listen to it all the time. I like this one better than their self titled because it's got more techno in it, so you can really dance to it. Also, it's a little more upbeat than their last one. There's more of a variety in the music. It goes from soft(8&12), to cowboy(11), to payback(5), to angry(7), to head pounding techno(6&9). Every track is a good one, and there's some meaningfull lyrics as well. Do yourself a tremendous favor and BUY THIS C.D.!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!"
1,"Pardon me, Mr. Owen, but weren't you a character in ""High Fidelity""?""Dry the Rain"" is as representative of the band as any other song, and I often bob my head while listening to it.That notwithstanding, this is an excellent, quirky cd. Some songs are more straightforward, others are weird instrumental fun. Kind of like Cornershop without the South Asian influence."
1,"This is the easiest Thomas Hardy novel, but one of the most complex in terms of emotions. Being an English literature fan, I have to say that the story that goes on in this book is one of the most original and refreshing. If you found Tess of the DUrbervilles (another Hardy book) too difficult but loved the general storyline, read this, it's simpler for the simple minds out there."
1,"When Katherine Tyler, Kit, comes to stay with her Aunt Rachel's family in the Connecticut, she knows her new home will never be the same as her old home, Barbados. Kit doesn't seem to fit in in this strict Puritan colony. When her young sailor friend, Nat, is around, he's always teasing and that doesn't really help, either.Then Kit befriends Widow Hannah Tupper, a.k.a. (also known as), the Witch of Blackbird Pond. With Hannah Tupper, Kit can let go and speak her real feelings. She feels almost as happy as she did back in Barbados. And she cannot understand why everyone is so misunderstanding towards Hannah Tupper.So when Kit's new family warns her to stay away from Hannah Tupper, to avoid trouble from the rest of the town, Kit ignores them. Unfortunately, her friendship with the so-called witch is discovered. And Kit is also accused of witchcraft!"
0,"The description said usually ships in 1-2 business days, well it's been 1 month and I have another month to go until I recieve this item. Don't believe the descriptions! I ordered this 3 weeks ago now the delivery estimate is the end of November. If you are cold and need this item this year don't buy it from Amazon. It probably won't arrive until February! It's going to take 2 months for delivery! Just a warning!"
1,Is one the great anime that will bring tear in your eye. Is very catching and heart breaking same time.
1,Install is simple recetion is good and removes the need for phone line. We have multiple tivos but cannot transfer between devices because we aquired units from other people and tivo will not give us permission to tranfer unless you own device. All in all good product/price.
1,"This book features one of the first Troll-Dwarf Friendships ever to hit the stands. Cuddy the dwarf does a great job of killing the practice dummy explaning that the fugative does not have to be able to answer questions. As well as the return of the 6 foot(adopted) dwarf, Carrot, the librairan, who is a very funny ape(don't call him a monkey), and Gaspode the wonder dog. He is very good at persuasion."
0,"Bad acting, bad script, uncoordinated wardrobe, and pathetic ""special effects"". I'm glad this came in a 2 pack with a decent film and didn't cost any more the the one by itself. I have been watching horro and suspence films for the majority of my life and this one goes on the top of the realy bad list. That is why I say giving it one star is gracious. stay away if you want to keep your IQ."
0,"I purchased this product expecting to save some of the shoes with soles that have dry rotted here in the Caribbean and the Shoe Goo wouldn't stay. I tried with several pairs of shoes, from tennis shoes to sandals and the results were poor in all the cases."
0,"Let me just start by saying that I am formally educated in music. Unfortunately, I have the exact same criticism about Clay that many (including Simon) have. He's got a huge voice, but he lacks emotion. He can hit high notes, his voice has a richness, but obvious Clay knows nothing of what he sings about. Song stylists are able to show off their voices and make the audience feel it at the same time. That's the sort of thing that separates the Wayne Newton's from the Bruce Springsteen's....or the Kelly Clarkson's from the Sheryl Crowe's. Mr. Aiken just doesn't have that. Screaming out some notes is not singing, it's just plain screaming. And that's the reason he was voted number two and not number one on American Idol. It's not enough to hit notes, make me feel it...I want to feel what the song is saying. Otherwise, seeing or hearing you perform is not worth the price charged."
1,"This is a fantastic diaper. It can do what it says-- stand up to a 12 hours of peeing overnight. It handles big bowel movements well. It's never leaked. My baby has not had any kind of reaction to the diaper. The only reason I give this diaper 4 stars is because Luvs does the same thing for much cheaper-- in this case about $15 cheaper for the same amount of diapers. Luvs does have a powder sent which I would not prefer if money were no object, however it's not too strong and is worth it to save that amount of money per box."
1,My 8 year old boy just loves his sword ( the black color and the design). The toy is plastic and very light and SAFE. My son has it for 3 weeks and it's still in good condition so far. Very pleased about the purchase.
1,"Stargate: Continuum is a good watch for anyone who has been a fan of the series. I've bought both this one and Stargate - The Ark of Truth, and enjoyed both. I think The Ark of Truth may have been a little better, but that is a personal judgement."
0,"These guys are in the same category as RPWL. Their music is decent, enteretaining - basically some good tunes. But some of the songs that are longer get boring because there is no new music introduced - they just keep repeating the basic tune. These guys certainly don't come close to the masters of prog like Genesis, Marillion, Flower Kings, IQ, etc. I wouldn't buy any more of their CD's based on this one."
1,Some of there best work. One of the most original bands out. this album was ahead of its time. Awesome!
1,"My husband and I drink instant coffee every morning before going to the office. For a long time I've been seeking the perfect coffee maker to elevate our coffee drinking pleasure, but for many reasons it's just simpler, quicker and hotter to drink instant coffee. So, you might call me an instant coffee connoisseur, because I've tried nearly all the instant varieties available at our local market. I can't say I adore any of them, but Nescafe rises to the top of the list when I rank them by taste, aroma and creme."
0,"Ladies and gentlemen, I present to you....Jack Wagner reincarnated. Or is it Michael Bolton? Either way, this sound should have died with the 80's. For those who claim Clay is a boy band extension, may I respectfully say: PUH-LEEZE! The kid has a nice voice, but this is not pop music. This is your mom's Kenny G with vocals."
0,"This book poses somewhat of a conundrum. Is it an over-thought monologue on the author's own hair color, or an exceedingly dull scholarly treatise? The answer: it is both! It's a hodge-podge of historical references, anecdotes, and Patty Scialfa. Never delving deep enough into the history, it manages to still lay on what it does say with an all-too heavy brush, dripping with overindulgent prose.In the end, it is sound and fury signifying... the onset of sleep. If you are in need of a never-ending supply of sleep medication, save yourself some money and buy this book. If not, don't bother."
1,"Sweet Dream Baby is an amazing novel, and its power grows as time passes. I read the novel when it first came out, and it's still with me. The music, the sight of a swimming hole, even a dusty road can make Travis and Delia appear for me again. What I wanted to know when I put the book down was, does Travis have a chance at a decent life? And what was up with Delia? More and more, I want to find out, because I can't let these characters go. I hope there will be a sequel."
1,"When you finish reading 1984, you don't know what to do with yourself for the next couple of hours. The themes of the novel are so thought provoking and powerful that it leaves you stupefied. However, the book is more than just a philosophical message. One of the reasons that Orwell's message is so powerful is because the characters are rich and the plot (forbidden love in a loveless world) is captivating. Not only did Orwell have some incredibly penetrating ideas, but he knew how to express them in a very well written story. 5 out of 5!"
1,"I bought these diapers because of the incredible deal with the Subscribe and Save/Amazon Mom discount combo (note: the price has now increased from when I ordered in June). The diapers are ""good"" in that they haven't leaked. They do not get 5 stars for the following reason: They are a little ""flimsy"". So, even if my daughter doesn't need a diaper change due to contents, she needs a diaper change more often because they lose their shape around her and don't cover her well. I did not have this problem with the Sam's Club brand diapers. So, although they were slightly less expensive per diaper, I have ended up using MORE diapers because I have to change my daughter more often. Other than the ""flimsiness"", I like the diapers."
0,With almost two dozen typos per page this version of Aron's Rod was completely unreadable. Not just typos but many of the sentences were incomplete. I found out to my frustration that it was too late to return the book. In frustration I simply threw the book away. DO NOT BUY FROM THIS PUBLISHER. I wish someone would have warned me about this.
